argn: 2
-------------------- beg ---------------------
     0 io_demo(33657):->SystemTap[1]
  2185 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[75]
  2188 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[75]cost=2us 
  2189 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[76]
  2192 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[76]cost=2us 
  2194 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[77]
  2196 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[77]cost=2us 
  2198 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[78]
  2200 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[78]cost=2us 
  2202 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[79]
  2205 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[79]cost=2us 
  2206 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[80]
  2209 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[80]cost=2us 
  2210 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[81]
  2213 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[81]cost=2us 
  2214 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[82]
  2217 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[82]cost=2us 
  2219 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[83]
  2221 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[83]cost=2us 
  2223 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[84]
  2226 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[84]cost=2us 
  2227 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[85]
  2230 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[85]cost=2us 
  2231 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[86]
  2234 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[86]cost=2us 
  2235 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[87]
  2238 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[87]cost=2us 
  2240 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[88]
  2242 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[88]cost=2us 
  2244 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[89]
  2246 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[89]cost=2us 
  2248 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[90]
  2251 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[90]cost=2us 
  2252 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[91]
  2255 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[91]cost=3us 
  2256 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[92]
  2259 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[92]cost=2us 
  2260 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[93]
  2263 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[93]cost=2us 
  2265 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[94]
  2267 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[94]cost=2us 
  2269 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[95]
  2271 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[95]cost=2us 
  2273 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[96]
  2276 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[96]cost=2us 
  2277 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[97]
  2280 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[97]cost=2us 
  2281 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[98]
  2284 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[98]cost=2us 
  2286 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[99]
  2288 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[99]cost=2us 
  2290 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[100]
  2292 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[100]cost=2us 
  2294 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[101]
  2297 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[101]cost=2us 
  2298 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[102]
  2301 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[102]cost=2us 
  2302 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[103]
  2305 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[103]cost=2us 
  2307 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[104]
  2309 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[104]cost=2us 
  2311 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[105]
  2314 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[105]cost=2us 
  2315 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[106]
  2318 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[106]cost=2us 
  2319 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[107]
  2322 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[107]cost=2us 
  2324 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[108]
  2326 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[108]cost=2us 
  2328 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[109]
  2330 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[109]cost=2us 
  2332 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[110]
  2335 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[110]cost=2us 
  2336 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[111]
  2339 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[111]cost=2us 
  2340 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[112]
  2343 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[112]cost=2us 
  2345 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[113]
  2347 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[113]cost=2us 
  2349 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[114]
  2351 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[114]cost=2us 
  2353 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[115]
  2356 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[115]cost=2us 
  2357 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[116]
  2360 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[116]cost=2us 
  2361 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[117]
  2364 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[117]cost=2us 
  2366 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[118]
  2368 io_demo(33657):        <-uct_ib_mlx5_init_dbrec[118]cost=2us 
  2370 io_demo(33657):        ->uct_ib_mlx5_init_dbrec[119]
